treeID,treeRatio_branch2height,treeRatio_CL_dim,treeAvg_crown_radius,treeDbh,treeRatio_dbh_th,treeRatio_dbh_volume,treeRatio_dbh_minsrad,treeStem_taper,treeStem_length,treeRatio_slength_theight,treeAngleX,treeAngleY,treeAngleZ,treeStem_volume,treeVolume8010,treeRatio_maxcdim_height,treeRatio_clength_volume,treeRatio_volume_area ,treeRatio_volume_height,treeRatio_volume_diameter,treeCrown_start_height  ,treeRatio_csh_th,treeLcl,treeRatio_lcl_th,treeCd_xy,treeCcd_xy,treeCd_xz,treeCcd_xz,treeCd_yz,treeCcd_yz,treeRatio_lcl_cdxy,treeRatio_cdxy_th,treeRatio_cdxy_ccdxy,treeRatio_cdxz_ccdxz,treeRatio_cdyz_ccdyz,branchLength,branchRadius,branchVolume,branchAxisX,branchAxisY,branchAxisZ,branchAngleX,branchAngleY,branchAngleZ,branchAngle2parent,branchRatio_2p_length,branchRatio_2p_volume,branchRatio_length2volume,branchRatio_2p_radius,branchAvg_dist_child ,cylinderID,cylinderPosInBranch,cylinderParentCylID,cylinderChildCyID,cylinderStartX,cylinderStartY,cylinderStartZ,cylinderAxisX,cylinderAxisY,cylinderAxisZ,cylinderLength,cylinderRadius,cylinderAngleX,cylinderAngleY,cylinderAngleZ,cylinderAngle2parent,cylinderRatio_length2bl,cylinderRatio_radius2bl,cylinderVolume,cylinderRatio_volume2pv
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,21,21,20,22,-0.7387,1.1332,-0.72826,-0.11328,0.048959,0.99236,0.16462,0.041105,1.684319572,1.521817936,0.123722142,0.030165204,0.690433251,0.172398608,0.00087382,1.630517268
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,22,22,21,23,-0.76761,1.1492,-0.56547,-0.089745,-0.044279,0.99498,0.11501,0.049506,1.660662236,1.615089809,0.100241741,0.096235102,0.482363797,0.207633268,0.000885526,1.013396444
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,23,23,22,24,-0.7718,1.1325,-0.45053,-0.097815,-0.0088885,0.99516,0.10233,0.048718,1.668768462,1.579684987,0.098377108,0.036301459,0.429182569,0.204328314,0.000763013,0.861649416
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,24,24,23,25,-0.77508,1.1302,-0.34781,-0.15548,-0.11774,0.9808,0.091862,0.042119,1.726909247,1.688809752,0.1962876,0.124096324,0.385278698,0.176651428,0.000511967,0.670980847
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,25,25,24,26,-0.78874,1.1283,-0.25355,-0.24765,-0.39389,0.88517,0.081774,0.047371,1.821049531,1.975654998,0.483942563,0.307640686,0.342968586,0.198678858,0.000576488,1.126025817
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,26,26,25,27,-0.81735,1.1006,-0.182,-0.32368,-0.45351,0.8304,0.13198,0.046548,1.900411896,2.041494947,0.590974256,0.111119289,0.553537726,0.195227111,0.00089838,1.558367305
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,27,27,26,28,-0.8011,1.0278,-0.039366,-0.50181,-0.091883,0.86008,0.30998,0.050238,2.096488298,1.662809413,0.535364271,0.407013296,1.300088076,0.210703351,0.00245781,2.735824168
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,28,28,27,29,-0.93812,0.99402,0.2323,-0.26226,0.0036075,0.96499,0.070316,0.043064,1.836159896,1.567188817,0.265389279,0.279311507,0.294912553,0.180614856,0.000409669,0.1666804
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,29,29,28,30,-0.96515,0.99966,0.29992,-0.072296,-0.071059,0.99485,0.15332,0.042076,1.643155359,1.641915171,0.101545357,0.206651278,0.643039886,0.176471082,0.000852742,2.081540247
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,30,30,29,31,-0.9741,0.98663,0.45248,-0.089211,-0.073497,0.9933,0.16465,0.040678,1.660125848,1.644359462,0.11584588,0.017160117,0.690559074,0.170607726,0.000855915,1.003721474
